Entity,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation,Number of parameters (Original Day),Training computation (petaFLOP) (Original Day),,,,Number of parameters,Training computation (petaFLOP),,,,
Distributed representation NN,2/17/2026,3.89E-07,432,Academia,8/15/1986,8/15/1986,,,,432,3.89E-07,,,,
Doubao-pro,2/17/2026,25050001000,5.00E+11,Industry,10/28/2024,10/28/2024,,,,5.00E+11,25050001000,,,,
DreamerV3,2/17/2026,220320,200000000,Academia and industry collaboration,1/10/2023,1/10/2023,,,,200000000,220320,,,,
Dropout (MNIST),2/17/2026,6.039371,5594010,Academia,6/3/2012,6/3/2012,,,,5594010,6.039371,,,,
Dropout-LSTM+Noise(Bernoulli) (WT2),2/17/2026,127,51000000,Academia,5/3/2018,5/3/2018,,,,51000000,127,,,,
EI-REHN-1000D,2/17/2026,10.599999,19000000,Academia,8/14/2017,8/14/2017,,,,19000000,10.599999,,,,
ELECTRA,2/17/2026,3100000,335000000,Academia and industry collaboration,3/23/2020,3/23/2020,,,,335000000,3100000,,,,
ELMo,2/17/2026,3.3001,94000000,Other,2/1/2018,2/1/2018,,,,94000000,3.3001,,,,
EMDR,2/17/2026,1910000,440000000,Academia and industry collaboration,6/9/2021,6/9/2021,,,,440000000,1910000,,,,
ERNIE 3.0,2/17/2026,22500000,10000000000,Industry,7/5/2021,7/5/2021,,,,10000000000,22500000,,,,
ERNIE 3.0 Titan,2/17/2026,1042100030,2.60E+11,Academia and industry collaboration,12/23/2021,12/23/2021,,,,2.60E+11,1042100030,,,,
ERNIE-Doc (247M),2/17/2026,30302.799,247000000,Industry,12/31/2020,12/31/2020,,,,247000000,30302.799,,,,
ERNIE-GEN (large),2/17/2026,200000,340000000,Industry,8/6/2020,8/6/2020,,,,340000000,200000,,,,
ESM1b,2/17/2026,5100000,652400000,Academia and industry collaboration,12/15/2020,12/15/2020,,,,652400000,5100000,,,,
ESM2-15B,2/17/2026,73500000,15000000000,Academia and industry collaboration,7/21/2022,7/21/2022,,,,15000000000,73500000,,,,
ESM3 (98B),2/17/2026,1070000000,98500000000,Academia and industry collaboration,6/25/2024,6/25/2024,,,,98500000000,1070000000,,,,
EVA-01,2/17/2026,15010000,1011000000,Academia,11/14/2022,11/14/2022,,,,1011000000,15010000,,,,
EXAONE 3.5 32B,2/17/2026,1250000000,32000000000,Industry,12/9/2024,12/9/2024,,,,32000000000,1250000000,,,,
EXAONE 4.0 (32B),2/17/2026,2690000000,32000000000,Industry,7/15/2025,7/15/2025,,,,32000000000,2690000000,,,,
EXAONE Deep 32B,2/17/2026,1260000000,32000000000,Industry,3/16/2025,3/16/2025,,,,32000000000,1260000000,,,,
Eagle 2,2/17/2026,47156000,8930000000,Academia and industry collaboration,1/20/2025,1/20/2025,,,,8930000000,47156000,,,,
EfficientNetV2-XL,2/17/2026,95600.01,208000000,Industry,6/23/2021,6/23/2021,,,,208000000,95600.01,,,,
EnhanceNet,2/17/2026,130.79233,814464,Academia,12/23/2016,12/23/2016,,,,814464,130.79233,,,,
FFN SwiGLU,2/17/2026,33687.316,220000000,Industry,2/14/2020,2/14/2020,,,,220000000,33687.316,,,,
FGN,2/17/2026,9618951,720000000,Industry,6/12/2025,6/12/2025,,,,720000000,9618951,,,,
FLAN 137B,2/17/2026,2047000000,1.37E+11,Industry,9/3/2021,9/3/2021,,,,1.37E+11,2047000000,,,,
FTW (For The Win),2/17/2026,34900,126001330,Industry,7/3/2018,7/3/2018,,,,126001330,34900,,,,
Falcon-180B,2/17/2026,3760000300,1.80E+11,Other,9/6/2023,9/6/2023,,,,1.80E+11,3760000300,,,,
Falcon-40B,2/17/2026,240000000,40000000000,Other,3/15/2023,3/15/2023,,,,40000000000,240000000,,,,
Feedback Transformer,2/17/2026,7690.5474,126000000,Academia and industry collaboration,2/21/2020,2/21/2020,,,,126000000,7690.5474,,,,
Feedforward NN,2/17/2026,0.35000002,7082000,Academia,5/13/2010,5/13/2010,,,,7082000,0.35000002,,,,
FinGPT-13B,2/17/2026,160000000,13000000000,Academia,10/7/2023,10/7/2023,,,,13000000000,160000000,,,,
Fine-tuned-AWD-LSTM-DOC (fin),2/17/2026,51.88,46000000,Industry,11/12/2018,11/12/2018,,,,46000000,51.88,,,,
Flamingo,2/17/2026,218972000,80000000000,Industry,4/29/2022,4/29/2022,,,,80000000000,218972000,,,,
Flan-PaLM 540B,2/17/2026,2540000000,5.40E+11,Industry,10/20/2022,10/20/2022,,,,5.40E+11,2540000000,,,,
Florence,2/17/2026,48310000,893000000,Industry,11/22/2021,11/22/2021,,,,893000000,48310000,,,,
Fold2Seq,2/17/2026,140,12427904,Academia and industry collaboration,6/24/2021,6/24/2021,,,,12427904,140,,,,
Fractional Max-Pooling,2/17/2026,100,27000000,Academia,12/18/2014,12/18/2014,,,,27000000,100,,,,
Fraternal dropout + AWD-LSTM 3-layer (WT2),2/17/2026,306,34000000,Academia,10/31/2017,10/31/2017,,,,34000000,306,,,,
FunSearch,2/17/2026,387000000,15000000000,Industry,12/14/2023,12/14/2023,,,,15000000000,387000000,,,,
Fusion in Encoder,2/17/2026,130000,330000000,Industry,11/18/2022,11/18/2022,,,,330000000,130000,,,,
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2/17/2026,456.00003,38000000,Academia,8/29/2017,8/29/2017,,,,38000000,456.00003,,,,
GLM-130B,2/17/2026,354900540,1.30E+11,Academia,8/4/2022,8/4/2022,,,,1.30E+11,354900540,,,,
GLM-4.5,2/17/2026,4420000300,3.55E+11,Academia and industry collaboration,8/5/2025,8/5/2025,,,,3.55E+11,4420000300,,,,
GLM-4.6,2/17/2026,4420000300,3.57E+11,Academia and industry collaboration,9/30/2025,9/30/2025,,,,3.57E+11,4420000300,,,,
GLM-4.7,2/17/2026,4420000300,3.58E+11,Industry,12/22/2025,12/22/2025,,,,3.58E+11,4420000300,,,,
GLM-5,2/17/2026,6840000500,7.44E+11,Industry,,,,,,7.44E+11,6840000500,,,,
GLaM,2/17/2026,363631140,1.20E+12,Industry,12/13/2021,12/13/2021,,,,1.20E+12,363631140,,,,
GNMT,2/17/2026,6620000,278000000,Industry,9/26/2016,9/26/2016,,,,278000000,6620000,,,,
GNN,2/17/2026,1.61E-06,30,Academia,12/9/2008,12/9/2008,,,,30,1.61E-06,,,,
GOAT,2/17/2026,24120000,3472816,Industry,7/27/2021,7/27/2021,,,,3472816,24120000,,,,
GPT-1,2/17/2026,17578.125,117000000,Industry,6/1/2018,6/1/2018,,,,117000000,17578.125,,,,
GPT-2 (1.5B),2/17/2026,1920000.1,1500000000,Industry,2/14/2019,2/14/2019,,,,1500000000,1920000.1,,,,
GPT-2 Medium (FlashAttention),2/17/2026,892809.25,355000000,Academia,5/27/2022,5/27/2022,,,,355000000,892809.25,,,,
GPT-3 175B (davinci),2/17/2026,314000000,1.75E+11,Industry,5/28/2020,5/28/2020,,,,1.75E+11,314000000,,,,
GPT-4 (Jun 2023),2/17/2026,21000000000,1.80E+12,Industry,3/15/2023,3/15/2023,,,,1.80E+12,21000000000,,,,
GPT-4 (Mar 2023),2/17/2026,21000000000,1.80E+12,Industry,3/15/2023,3/15/2023,,,,1.80E+12,21000000000,,,,
GPT-NeoX-20B,2/17/2026,93162700,20000000000,Other,2/9/2022,2/9/2022,,,,20000000000,93162700,,,,
GPU DBNs,2/17/2026,1,100000000,Academia,6/15/2009,6/15/2009,,,,100000000,1,,,,
GQA-8-XXL,2/17/2026,34912896,11000000000,Industry,12/23/2023,12/23/2023,,,,11000000000,34912896,,,,
