K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
7.96,100.0,36365.695238292996,2.292457623509108,36365.695238292996,2.292457623509108,36363.40278066949
7.98,100.0,36365.68323829299,2.2804576235066634,36365.68323829299,2.2804576235066634,36363.40278066949
8.0,100.0,36365.67123829299,2.2684576235042186,36365.67123829299,2.2684576235042186,36363.40278066949
8.02,100.0,36365.659238292996,2.25645762350905,36365.659238292996,2.25645762350905,36363.40278066949
8.04,100.0,36365.64723829299,2.244457623506605,36365.64723829299,2.244457623506605,36363.40278066949
8.06,100.0,36365.63523829299,2.2324576235041604,36365.63523829299,2.2324576235041604,36363.40278066949
8.08,100.0,36365.623238292996,2.2204576235089917,36365.623238292996,2.2204576235089917,36363.40278066949
8.1,100.0,36365.61123829299,2.208457623506547,36365.61123829299,2.208457623506547,36363.40278066949
8.12,100.0,36365.59923829299,2.1964576235041022,36365.59923829299,2.1964576235041022,36363.40278066949
8.14,100.0,36365.587238292996,2.1844576235089335,36365.587238292996,2.1844576235089335,36363.40278066949
8.16,100.0,36365.57523829299,2.1724576235064887,36365.57523829299,2.1724576235064887,36363.40278066949
8.18,100.0,36365.56323829299,2.160457623504044,36365.56323829299,2.160457623504044,36363.40278066949
8.2,100.0,36365.551238292996,2.1484576235088753,36365.551238292996,2.1484576235088753,36363.40278066949
8.22,100.0,36365.53923829299,2.1364576235064305,36365.53923829299,2.1364576235064305,36363.40278066949
8.24,100.0,36365.52723829299,2.124457623503986,36365.52723829299,2.124457623503986,36363.40278066949
8.26,100.0,36365.515238292995,2.112457623508817,36365.515238292995,2.112457623508817,36363.40278066949
8.28,100.0,36365.50323829299,2.1004576235063723,36365.50323829299,2.1004576235063723,36363.40278066949
8.3,100.0,36365.49123829299,2.0884576235039276,36365.49123829299,2.0884576235039276,36363.40278066949
8.32,100.0,36365.479238292995,2.076457623508759,36365.479238292995,2.076457623508759,36363.40278066949
8.34,100.0,36365.46723829299,2.064457623506314,36365.46723829299,2.064457623506314,36363.40278066949
8.36,100.0,36365.45523829299,2.0524576235038694,36365.45523829299,2.0524576235038694,36363.40278066949
8.38,100.0,36365.443238292995,2.0404576235087006,36365.443238292995,2.0404576235087006,36363.40278066949
8.4,100.0,36365.43123829299,2.028457623506256,36365.43123829299,2.028457623506256,36363.40278066949
8.42,100.0,36365.41923829299,2.016457623503811,36365.41923829299,2.016457623503811,36363.40278066949
8.44,100.0,36365.407238292995,2.0044576235086424,36365.407238292995,2.0044576235086424,36363.40278066949
8.46,100.0,36365.39523829299,1.9924576235061977,36365.39523829299,1.9924576235061977,36363.40278066949
8.48,100.0,36365.38323829299,1.980457623503753,36365.38323829299,1.980457623503753,36363.40278066949
8.5,100.0,36365.371238292995,1.9684576235085842,36365.371238292995,1.9684576235085842,36363.40278066949
8.52,100.0,36365.35923829299,1.9564576235061395,36365.35923829299,1.9564576235061395,36363.40278066949
8.54,100.0,36365.34723829299,1.9444576235036948,36365.34723829299,1.9444576235036948,36363.40278066949
8.56,100.0,36365.335238292995,1.932457623508526,36365.335238292995,1.932457623508526,36363.40278066949
8.58,100.0,36365.32323829299,1.9204576235060813,36365.32323829299,1.9204576235060813,36363.40278066949
8.6,100.0,36365.31123829299,1.9084576235036366,36365.31123829299,1.9084576235036366,36363.40278066949
8.62,100.0,36365.299238292995,1.8964576235084678,36365.299238292995,1.8964576235084678,36363.40278066949
8.64,100.0,36365.28723829299,1.884457623506023,36365.28723829299,1.884457623506023,36363.40278066949
8.66,100.0,36365.27523829299,1.8724576235035784,36365.27523829299,1.8724576235035784,36363.40278066949
8.68,100.0,36365.263238292995,1.8604576235084096,36365.263238292995,1.8604576235084096,36363.40278066949
8.7,100.0,36365.25123829299,1.8484576235059649,36365.25123829299,1.8484576235059649,36363.40278066949
8.72,100.0,36365.23923829299,1.8364576235035202,36365.23923829299,1.8364576235035202,36363.40278066949
8.74,100.0,36365.227238292995,1.8244576235083514,36365.227238292995,1.8244576235083514,36363.40278066949
8.76,100.0,36365.21523829299,1.8124576235059067,36365.21523829299,1.8124576235059067,36363.40278066949
8.78,100.0,36365.203238293,1.800457623510738,36365.203238293,1.800457623510738,36363.40278066949
8.8,100.0,36365.191238292995,1.7884576235082932,36365.191238292995,1.7884576235082932,36363.40278066949
8.82,100.0,36365.17923829299,1.7764576235058485,36365.17923829299,1.7764576235058485,36363.40278066949
8.84,100.0,36365.167238293,1.7644576235106797,36365.167238293,1.7644576235106797,36363.40278066949
8.86,100.0,36365.155238292995,1.752457623508235,36365.155238292995,1.752457623508235,36363.40278066949
8.88,100.0,36365.14323829299,1.7404576235057903,36365.14323829299,1.7404576235057903,36363.40278066949
8.9,100.0,36365.131238293,1.7284576235106215,36365.131238293,1.7284576235106215,36363.40278066949
8.92,100.0,36365.119238292995,1.7164576235081768,36365.119238292995,1.7164576235081768,36363.40278066949
8.94,100.0,36365.10723829299,1.704457623505732,36365.10723829299,1.704457623505732,36363.40278066949
8.96,100.0,36365.095238293,1.6924576235105633,36365.095238293,1.6924576235105633,36363.40278066949
8.98,100.0,36365.083238292995,1.6804576235081186,36365.083238292995,1.6804576235081186,36363.40278066949
