K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
2.06,100.0,36378.20827108328,0.9440979348801193,36378.20827108328,0.9440979348801193,36377.2641731484
2.08,100.0,36378.196271083274,0.9320979348776746,36378.196271083274,0.9320979348776746,36377.2641731484
2.1,100.0,36378.18427108327,0.9200979348752298,36378.18427108327,0.9200979348752298,36377.2641731484
2.12,100.0,36378.17227108328,0.9080979348800611,36378.17227108328,0.9080979348800611,36377.2641731484
2.14,100.0,36378.160271083274,0.8960979348776164,36378.160271083274,0.8960979348776164,36377.2641731484
2.16,100.0,36378.14827108327,0.8840979348751716,36378.14827108327,0.8840979348751716,36377.2641731484
2.18,100.0,36378.13627108328,0.8720979348800029,36378.13627108328,0.8720979348800029,36377.2641731484
2.2,100.0,36378.124271083274,0.8600979348775581,36378.124271083274,0.8600979348775581,36377.2641731484
2.22,100.0,36378.11227108327,0.8480979348751134,36378.11227108327,0.8480979348751134,36377.2641731484
2.24,100.0,36378.100271083276,0.8360979348799447,36378.100271083276,0.8360979348799447,36377.2641731484
2.26,100.0,36378.088271083274,0.8240979348774999,36378.088271083274,0.8240979348774999,36377.2641731484
2.28,100.0,36378.07627108327,0.8120979348750552,36378.07627108327,0.8120979348750552,36377.2641731484
2.3,100.0,36378.064271083276,0.8000979348798865,36378.064271083276,0.8000979348798865,36377.2641731484
2.32,100.0,36378.052271083274,0.7880979348774417,36378.052271083274,0.7880979348774417,36377.2641731484
2.34,100.0,36378.04027108327,0.776097934874997,36378.04027108327,0.776097934874997,36377.2641731484
2.36,100.0,36378.028271083276,0.7640979348798282,36378.028271083276,0.7640979348798282,36377.2641731484
2.38,100.0,36378.016271083274,0.7520979348773835,36378.016271083274,0.7520979348773835,36377.2641731484
2.4,100.0,36378.00427108327,0.7400979348749388,36378.00427108327,0.7400979348749388,36377.2641731484
2.42,100.0,36377.992271083276,0.72809793487977,36377.992271083276,0.72809793487977,36377.2641731484
2.44,100.0,36377.980271083274,0.7160979348773253,36377.980271083274,0.7160979348773253,36377.2641731484
2.46,100.0,36377.96827108327,0.7040979348748806,36377.96827108327,0.7040979348748806,36377.2641731484
2.48,100.0,36377.956271083276,0.6920979348797118,36377.956271083276,0.6920979348797118,36377.2641731484
2.5,100.0,36377.94427108327,0.6800979348772671,36377.94427108327,0.6800979348772671,36377.2641731484
2.52,100.0,36377.93227108327,0.6680979348748224,36377.93227108327,0.6680979348748224,36377.2641731484
2.54,100.0,36377.920271083276,0.6560979348796536,36377.920271083276,0.6560979348796536,36377.2641731484
2.56,100.0,36377.90827108327,0.6440979348772089,36377.90827108327,0.6440979348772089,36377.2641731484
2.58,100.0,36377.89627108327,0.6320979348747642,36377.89627108327,0.6320979348747642,36377.2641731484
2.6,100.0,36377.884271083276,0.6200979348795954,36377.884271083276,0.6200979348795954,36377.2641731484
2.62,100.0,36377.87227108327,0.6080979348771507,36377.87227108327,0.6080979348771507,36377.2641731484
2.64,100.0,36377.86027108327,0.596097934874706,36377.86027108327,0.596097934874706,36377.2641731484
2.66,100.0,36377.848271083276,0.5840979348795372,36377.848271083276,0.5840979348795372,36377.2641731484
2.68,100.0,36377.83627108327,0.5720979348770925,36377.83627108327,0.5720979348770925,36377.2641731484
2.7,100.0,36377.82427108327,0.5600979348746478,36377.82427108327,0.5600979348746478,36377.2641731484
2.72,100.0,36377.812271083276,0.548097934879479,36377.812271083276,0.548097934879479,36377.2641731484
2.74,100.0,36377.80027108327,0.5360979348770343,36377.80027108327,0.5360979348770343,36377.2641731484
2.76,100.0,36377.78827108327,0.5240979348745896,36377.78827108327,0.5240979348745896,36377.2641731484
2.78,100.0,36377.776271083276,0.5120979348794208,36377.776271083276,0.5120979348794208,36377.2641731484
2.8,100.0,36377.76427108327,0.5000979348769761,36377.76427108327,0.5000979348769761,36377.2641731484
2.82,100.0,36377.75227108327,0.48809793487453135,36377.75227108327,0.48809793487453135,36377.2641731484
2.84,100.0,36377.740271083276,0.4760979348793626,36377.740271083276,0.4760979348793626,36377.2641731484
2.86,100.0,36377.72827108327,0.46409793487691786,36377.72827108327,0.46409793487691786,36377.2641731484
2.88,100.0,36377.71627108327,0.45209793487447314,36377.71627108327,0.45209793487447314,36377.2641731484
2.9,100.0,36377.704271083276,0.4400979348793044,36377.704271083276,0.4400979348793044,36377.2641731484
2.92,100.0,36377.69227108327,0.42809793487685965,36377.69227108327,0.42809793487685965,36377.2641731484
2.94,100.0,36377.68027108327,0.41609793487441493,36377.68027108327,0.41609793487441493,36377.2641731484
2.96,100.0,36377.668271083276,0.40409793487924617,36377.668271083276,0.40409793487924617,36377.2641731484
